Word,Definition,Pronunciation,Grammar,Example
announcement,n. 公告；宣告；发表；通告,/əˈnaʊnsmənt/,"make an announcement, official announcement, public announcement, announcement of",The school made an announcement about the upcoming sports day. 学校发布了关于即将到来的运动会的公告。
announcer,n.  广播员；宣告者,/əˈnaʊnsər/,"radio announcer, TV announcer, sports announcer, news announcer",The announcer introduced the next performer with enthusiasm. 广播员热情地介绍了下一位表演者。
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅",/əˈnɔɪ/,"annoy someone, be annoyed by, annoy with, annoy at",The loud noise from the construction site annoyed the neighbors. 建筑工地的噪音惹恼了邻居。
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的",/ˈænjuəl/,"annual report, annual meeting, annual income, annual event",The company holds an annual meeting to discuss its progress. 公司每年举行一次会议讨论进展。
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个",/əˈnʌðər/,"another one, another day, another time, another way","Can I have another piece of cake, please? 请问我能再要一块蛋糕吗？"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合",/ˈænsər/,"answer the question, answer the phone, answer for, answer to",She quickly answered the teacher's question in class. 她在课堂上迅速回答了老师的问题。
ant,n. 蚂蚁,/ænt/,"ant colony, worker ant, ant hill, ant species",The children watched the ants carry food back to their nest. 孩子们看着蚂蚁把食物搬回巢穴。
antipollution,adj. 防止环境污染的，防污染的; 反污染,/ˌæntipəˈluːʃən/,"antipollution measures, antipollution campaign, antipollution device, antipollution policy",The government introduced antipollution measures to protect the environment. 政府引入了防污染措施来保护环境。
anxious,adj. 焦虑的；担忧的；渴望的；急切的,/ˈæŋkʃəs/,"be anxious about, anxious to do, anxious for, anxious look",He was anxious about the results of his exam. 他对考试结果感到焦虑。
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许",/ˈeni/,"any time, any place, any more, any other",You can call me at any time if you need help. 如果你需要帮助，随时可以给我打电话。
anybody,"n. 重要人物
pron. 任何人",/ˈenibɒdi/,"anybody else, anybody can, anybody who, anybody's guess",Is there anybody in the room? 房间里有人吗？
anyhow,adv. 总之；无论如何；不管怎样,/ˈenihaʊ/,"anyhow, in anyhow, anyhow you like, anyhow possible","Anyhow, we need to finish the project by tomorrow. 无论如何，我们需要在明天前完成这个项目。"
anymore,adv. 再也不，不再,/ˌeniˈmɔːr/,"not anymore, anymore than, anymore now, anymore since",I don't go to that park anymore because it's too crowded. 我不再去那个公园了，因为它太拥挤了。
anyone,pron. 任何人；任何一个,/ˈeniwʌn/,"anyone else, anyone can, anyone who, anyone's guess",Anyone can join the club if they are interested. 任何感兴趣的人都可以加入这个俱乐部。
anything,pron. 任何事,/ˈeniθɪŋ/,"anything else, anything but, anything like, anything goes",Is there anything I can do to help you? 有什么我能帮忙的吗？
anyway,adv. 无论如何，不管怎样；总之,/ˈeniweɪ/,"anyway, in anyway, anyway possible, anyway you like","Anyway, let's focus on the task at hand. 总之，让我们专注于手头的任务。"
anywhere,"n. 任何地方
adv. 在任何地方；无论何处",/ˈeniweər/,"anywhere else, anywhere near, anywhere from, anywhere you go",You can sit anywhere in the classroom. 你可以在教室的任何地方坐下。
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着",/əˈpɑːrt/,"apart from, fall apart, take apart, set apart","Apart from English, she also speaks French fluently. 除了英语，她还能流利地说法语。"
apartment,n. 公寓；房间,/əˈpɑːrtmənt/,"apartment building, rent an apartment, apartment complex, apartment block",They moved into a new apartment in the city center. 他们搬进了市中心的一套新公寓。
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白",/əˈpɒlədʒaɪz/,"apologize for, apologize to, apologize sincerely, apologize in advance",He apologized to his friend for being late. 他为迟到向朋友道歉。
apology,n. 道歉；谢罪；辩护；勉强的替代物,/əˈpɒlədʒi/,"make an apology, accept an apology, owe someone an apology, a letter of apology",He made a sincere apology for his mistake. 他为自己的错误真诚地道歉。
apparent,adj. 显然的；表面上的,/əˈpærənt/,"apparent to, for no apparent reason, apparent from, it is apparent that",It was apparent that she was very tired. 很明显她非常疲惫。
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判",/əˈpiːl/,"appeal to, make an appeal, have appeal, appeal for",The charity made an appeal for donations. 该慈善机构呼吁捐款。
appear,vi. 出现；显得；似乎；出庭；登场,/əˈpɪə(r)/,"appear to be, appear in, appear on, it appears that",She appears to be happy with the result. 她似乎对结果很满意。
appearance,n. 外貌，外观；出现，露面,/əˈpɪərəns/,"make an appearance, keep up appearances, at first appearance, in appearance",He made a brief appearance at the party. 他在派对上短暂露面。
appetite,n. 食欲；嗜好,/ˈæpɪtaɪt/,"have an appetite for, lose one's appetite, whet the appetite, appetite for","After the hike, I had a big appetite. 徒步后，我胃口大开。"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎",/əˈplɔːd/,"applaud for, applaud loudly, applaud the decision, applaud the effort",The audience applauded the performers warmly. 观众热情地为表演者鼓掌。
applause,n. 欢呼，喝采；鼓掌欢迎,/əˈplɔːz/,"burst into applause, receive applause, round of applause, thunderous applause",The speech was met with loud applause. 演讲赢得了热烈的掌声。
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。,/ˈæpl/,"apple of one's eye, bad apple, apple pie, compare apples and oranges",She is the apple of her father's eye. 她是她父亲的掌上明珠。
appliance,n. 器具；器械；装置,/əˈplaɪəns/,"household appliance, electrical appliance, kitchen appliance, medical appliance",Modern kitchens are equipped with various appliances. 现代厨房配备各种电器。
applicant,n. 申请人，申请者；请求者,/ˈæplɪkənt/,"job applicant, successful applicant, applicant for, number of applicants",There were many applicants for the position. 这个职位有很多申请者。
application,n. 应用；申请；应用程序；敷用,/ˌæplɪˈkeɪʃn/,"application form, practical application, make an application, application of",Please fill out the application form carefully. 请仔细填写申请表。
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用",/əˈplaɪ/,"apply for, apply to, apply oneself, apply pressure",He decided to apply for a scholarship. 他决定申请奖学金。
appoint,"vt. 任命；指定；约定
vi. 任命；委派",/əˈpɔɪnt/,"appoint as, appoint to, appoint a committee, appoint someone to do",The company appointed him as the new manager. 公司任命他为新经理。
appointment,n. 任命；约定；任命的职位,/əˈpɔɪntmənt/,"make an appointment, keep an appointment, appointment with, by appointment",I have a doctor's appointment tomorrow. 我明天约了医生。
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别",/əˈpriːʃieɪt/,"appreciate your help, appreciate the value, appreciate in value, I would appreciate it if",I really appreciate your kindness. 我非常感激你的好意。
appreciation,n. 欣赏，鉴别；增值；感谢,/əˌpriːʃiˈeɪʃn/,"show appreciation, in appreciation of, appreciation for, art appreciation",She expressed her appreciation for the gift. 她对礼物表示感谢。
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近",/əˈprəʊtʃ/,"approach to, make an approach, new approach, with the approach of",We need a different approach to solve this problem. 我们需要不同的方法来解决这个问题。
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出",/əˈprəʊpriət/,"appropriate for, it is appropriate to, appropriate time, appropriate measures",Wearing formal clothes is appropriate for the occasion. 穿正式服装适合这个场合。
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据",/əˈpruːv/,"approve of, approve the plan, approve the application, officially approve",The committee approved the proposal unanimously. 委员会一致批准了这项提议。
architect,"n. 建筑师
缔造者",/ˈɑːrkɪtekt/,"chief architect, famous architect, architect of something, work as an architect",The architect designed a modern building that won many awards. 这位建筑师设计了一座赢得许多奖项的现代建筑。
architecture,n. 建筑学；建筑风格；建筑式样；架构,/ˈɑːrkɪtektʃər/,"classical architecture, modern architecture, study architecture, architecture style",She is studying architecture at university to become a designer. 她在大学学习建筑学，想成为一名设计师。
area,n. 区域，地区；面积；范围,/ˈeriə/,"rural area, urban area, area of expertise, total area",This park covers a large area and is popular for picnics. 这个公园面积很大，是野餐的热门地点。
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服",/ˈɑːrɡjuː/,"argue with someone, argue about something, argue for/against, argue that",They often argue about politics during dinner. 他们经常在晚餐时争论政治问题。
argument,n. 论证；论据；争吵；内容提要,/ˈɑːrɡjumənt/,"strong argument, have an argument, argument against, main argument",His argument was convincing and changed many people's minds. 他的论据很有说服力，改变了许多人的想法。
arise,vi. 出现；上升；起立,/əˈraɪz/,"arise from, problems arise, opportunity arises, arise naturally",A new problem may arise if we don't plan carefully. 如果我们不仔细计划，可能会出现新问题。
